Term,Definition,"Notes, Examples"
wind,"szél, szellőztet, huzat, felteker, agyonhajszol",wind up = felteker
winding,"kanyargó, kígyózó, kanyargás,",
windscreen,szélvédő,
windshield,szélvédő,
wiper,"ablaktörlő (autó), törlő",
witchcraft,boszorkányság,
withdraw,"visszavonul, visszavon, felvesz",
withdrawal,"visszavonás, kivonás, elvonás",withdrawal symptoms
withhold,"visszatart, megtagad",
within,"belül, benn, valamin belül",
withstand,"ellenáll, ellenszegül","People who have been satisfied in their basic needs throughout their lives, particularly in their earlier years, seem to develop exceptional power to withstand present or future thwarting of these needs simply because they have strong, healthy character structure as a result of basic satisfaction.(MASLOW 1943:388)"
witty,"szellemes, éles eszű, éleselméjű",
woeful,"szánalmas, szerencsétlen, bánatos",
wonky,rozoga,
workaround,kerülő megoldás,
workman,dolgozó,
workmanship,kivitelezés,
workout,"edzés, tréning",
worship,"imádat, istentisztelet",
worthwhile,"érdemes, érdemleges",
wound,"seb, sértés, megsebesít",
wrath,düh,
wreckage,roncs,
wrench,csavarkulcs,
wring,"szorít(ás), kicsavar",
written language,írott nyelv,
wrongdoing,méltánytalanság,
yarn,"fonál, mesél",
yearn,sóvárog,
years after,évekkel később,
yep,Igen!,
yes/no question,eldöntendő kérdés,
yield,"hozam, termelés, hozadék, terem, jövedelmez",
yikes,sokk jelzése,
yolk,"tojássárgája, pete, foolish ugly idiot",
zealous,"lelkes, fanatikus, buzgó",
zinc,"cink, galvanizál, horganyoz",
wiseacre,"okoskodó, tudálékos",
ornate,"választékos, díszít, díszes, finomkodó",
antecedent,"előzmény, előtag, megelőző",
dispirited,csüggedt,
abundance,bőség,
trajectory,röppálya,
fervently,"buzgón, szenvedéllyel",
summon,megidéz,
uncharted,feltérképezetlen,
wet,"vizes, csapadék, nedves(ít), nedvesség",
to borrow,kölcsönkér,
to loan,kölcsönad (pénzt?),
to advance,kölcsönad,
to lend,kölcsönad,
slim,"vékony, kevés, csekély",
rude,"nyers, goromba, faragatlan",
noisy,"feltűnő, rikító, lármás, kiabáló, zajos",
lime,amolyan élénk almazöld,
navy,tengerkék,
underneath,"lent, alatt, alá, alul, alul, alsó",
to chase sg/sy,kerget vmit/vkit,
to point at,ujjal mutat,
to point,"(meg)mutat, hegyez és még sok más minden",
to ride a scooter,rollerezik,
scooter,"robogó, roller",
reservation,"(szoba-, asztal-, helyjegy-, stb.) foglalás",
without reservation,fenntartás nélkül,
to book sg,"foglal, előjegyez",
"to mean, meant sg","akar, szándékozik vmit",
to catch a bus,elkapni egy buszt,
to count (as),"számlál, (számít vminek)",
to suggest sg,javasol,
plumber,vízvezeték szerelő,
plumber's friend,wc-pumpa,
subject,"tárgy/téma/alany a mondatban, alany",
predicate,állítmány,
object,tárgy,
conjunction,kötőszó,
compound sentence,mellérendelő összetett mondat,"Independent Clause + (,) Coordinating Conjunction + Independent Clause"
complex sentence,alárendelő összetett mondat,"Independent Clause + (Subordinating Conjunction + Dependent Clause)
(Subordinating Conjunction + Dependent Clause)(,) + Independent Clause"
coordinating conjuntion,mellérendelő mondatok közti kötőszó,"for, and, nor, but, or, yet, and so (FANBOYS)"
simple sentence,egyszerű mondat,
nor,sem,„nor God nor demon can undo the done
subordinating conjunction,alárendelő kötőszó,"After, although, as, as if, as long as, as much as, as soon as, as though, because, before, by the time, even if, even though, if, in order that, in case, in the event that, lest, now that, once, only, only if, provided that, since, so, supposing, that, than, though, till, unless, until, when, whenever, where, whereas, wherever, whether or not, while"
as if,mintha,as if you care about me
as long as,amíg,as long as I can
as much as,anniyira,as much as possible
as soon as,amint,ASAP
as though,mintha,
by the time,mire,by the time we arrived
even if,"még akkor is, ha",
even though,annak ellenére,
in order that,annak érdekében,
in case,abban az esetben - amennyiben - arra az esetre,
in the event that,abban az esetben,
lest,"elkerülendő azt, hogy","„He spent whole days in his room, headphones on lest he disturb anyone."
now that,"most, hogy…",
provided that,"feltéve, hogy",
supposing,"feltételezve, hogy",
wherever,"ahová csak, (bárhol)",
whether or not,"függetlenül attól, hogy…",
semicolon,pontosvessző,
phrase,kifejezés,
serial or oxford comma,pontosvessző,"a comma used after the penultimate item in a list of three or more items, before ‘and’ or ‘or’ (e.g. an Italian painter, sculptor, and architect )."
adjective,jelző,
adverb,határozó,
all-around,"mindenre kiterjedő, körültekintő, mindenre odafigyelő","motivated, all-around student"
well-behaved,"jólnevelt, illedelmes",
punctuation,központozás,
overly,túlságosan,
hastily,"sietősen, gyorsan, kapkodva",
gracefully,kecsesen,
to wag the tail,csóválni a farkát,
for sure,biztosan,
would,"Szeretnék egy pizzát, és szerintem a többiek (családtagok) is.","I would like to buy a pizza, and I think my family would love to have one too."
choppy,"durva, (és még sok más is, de mint minőség, ez)",
to attend,részt vesz,attendant
to overcome,leküzd,„He finally managed to overcome his fear of flying.
hence,ennélfogva,"„The result was successful. Hence, he got the scholarship."
scolarship,ösztöndíj,
likewise,hasonlóképpen,"„It seems like a happy place. Likewise, the people appear to be kind."
in particular,különösen,"„The students have attended a series of events. In particular, They have experienced water- related
activities such as boating and kayaking."
to proclaim,"hirdet, kinyilatkoztat","I dislike parties, Jane proclaimed. (Using a comma to introduce direct quotations.)

Saint Marcellin said, To educate children, you must love them. (Comma is outside the direct quotes…)"
to suggest,javasol,Why don't we go hiking? my friend suggested. (*Don’t use a comma after direct speech if the direct speech ends with a question mark or exclamation mark.)
heinous,kegyetlen,heinous crime
to confiscate,"elkoboz, lefoglal",
moreover,ráadásul,"„The family went to Bali - moreover, they rented a private villa near a beach."
halfway,"félúton, félig","-You awake yet?
-I’m about halfway there."
get the leg cramps,görcsöl a lába,
I made up my mind,elhatároztam magam,
I should’ve done,meg kellett volna tennem,
I wouldn’t be there,nem lennék itt,
clearance,engedély,
opportunity,lehetőség,
everyone,"én csak azt akartam, hogy senki ne tudja",I just want everyone didn’t know
tell-it-is-like-it-is manner,ami a szívemen a számon mód,
to intrude,"tolakodik, behatol",
numb,zsibbadt,
for a reason,okkal,
stampede,pánik,
to set off a stampede,pánikot kelt,
sash,"vállszalag, selyemöv (egyenruha) / ablakszárny",
deputy,helyettes,
relic,ereklye,
uttered,"kimondva, kimondott",Once uttered it is determined.
modal verb,módbeli segédige,could
helping verb,segédige,is
crutch,mankó,
brim,"karima, perem",
to whack,"üt, elver",I’m not interested in getting whacked.
duress,kényszer,menthal duress
cap in hand,"szívességet kér, kéregetésből ered",We have to go cap in hand begging for funds.
redemption,"megváltás, törlesztés, jóvátevés",
reproach,"szemrehányás, szégyen",You’re beyond reproach.
to bribe,megveszteget,
bribe,kenőpénz,
to take bribes,kenőpénzt fogad el,
to sulk,duzzog,
sulk,mogorvaság,
common ground,közös alap,Why can’t we find a common ground?
attentive,"figyelmes, gondos",
attentive to  details,alapos,
Internship,szakmai gyakorlat,
thus,"és így, így, ezért, ennélfogva, így…","Subjects and verbs must agree with one another in number (singular or plural). Thus, if a subject is singular, its verb must also be singular - if a subject is plural, its verb must also be plural."
in 5 years’ tme,5 év múlva,
obnoxious,"kellemetlen, ellenszenves",
pre-boarding announcement,beszállás előtti bejelentés,
handover,átadás,
to intercept,elfog,
intercept,elfogott üzenet,
to assess,"felmér, követ, megbecsül, megállapít, leltároz, felvesz, kiró, előír",
to apprehend,"elfog, felfog, letartóztat",
overwhelming,"ellenállhatatlan, túlzott, nagyon nagy mennyiségű",
to debrief,kikérdez (főleg katonát teljesített küldetésről),
defector,disszidens,
on more than one occasion,egynél több alkalommal,
I’m flattered,hízelgő számomra,
cubicle,"fülke, hálófülke",
downstair(s),földszint(en),
staircase,lépcsőház,
entanglement,összefonódás,
flash point,lobbanáspont,
reluctantly,vonakodva,
to poach,orv halászik/vadászik,
poach,orvvadászat,
ravenous,falánk,
foyer,"előcsarnok, recepció, előszoba, hall, nyilvános helyen nyitott előtér",
to get cozy,elkényelmesedik,
to overhear,"kihallgat, lehallgat",
to deflect,"elterel, eltérít",
unease,"nyugtalanság, feszélyezettség",You are trying to deflect your unease with humor?
retribution,"büntetés, megtorlás",
tense,"feszült, feszes, kiélezett, igeidő",
to tense,(meg)feszít,
rug,szőnyeg,
to jibe,gúnyolódik,
jibe,csúfolódás,
knave,gazfickó,
enthralled,elragadtatva,
scurry,sietség,
to scurry,sietős léptekkel halad (apró lépésekkel),
stand down,"visszalép, visszavonul",
smug,önelégült,
calf,"borjú, vádli",
bystander,"szemlélő, kívülálló néző",
errand,küldetés,
tension,feszültség,
worrisome,aggasztó,
countertop,(konyhai) munkalap,
mold,"öntőforma, penész",
landlord,"földesúr, lakás-bérbeadó, háziúr, fogadós",
moody,rosszkedvű,
spoiled,elkényeztetett,"Kid’s spoiled, I told you."
get ready,készülj fel,
go get ready,menj készülődni,
barren,kopár,
full-on,teljesen,
courtyard,udvar,
to sneak,settenkedik,
sneak,spicli,
libation,boráldozat,
"In for a penny, in for a pound.","be kell fejezni, amit elkezdtél, bármi áron",
to summon,megidéz,"Spilled blood especially from violent event has magical powers, it can ward off evil or it can even summon it."
to ward off,kivéd,
tenure,"birtoklás, használat, meghatározatlan idejű munkaszerződés alkalmazottként, tartós alkalmazás",
ludicrous,nevetséges,
tabby,"cirmos, pletykás vénasszony",
feral,vad,
lucid,"világos, érthető, ragyogó",
misdemeanor,vétség,
ruse,csel,
to owe somebody,tartozni valakinek,
lousy,"tetves, koszos, vacak",
foreclosure,"kizárás, kizárt",
spacious,tágas,
wearisome,"fárasztó, hosszadalmas",
listless,kedvetlen,
superfluous,felesleges,
superstitious,babonás,
simple-hearted,"nyíltszívű, őszinte",
to argue,vitat(kozik),
cultivated,"művelt, termesztett",
syllable,szótag,
improvident,könnyelmű,
pernicious,káros,
mess of grits,zagyvaság,
ornery,makacs,
hog,disznó,
I’ma,fogok majd,I am going to… gonna
ought,"kellene, morálisan helyes, kellett volna, illene","You can take ‘em and treat like a woman ought to., Trump has the ability to convince himself that whatever he is saying at any given moment is true, or sort of true, or at least ought to be true."
cognizant,tudatos,awake
pollutants,szennyező anyagok,
scar,sebhely,
trollop,lotyó,
corny,elcsépelt,
crooked,görbe,
indicment,vádirat,
controversial,"vitatott, ellentmondásos",
to reiterate,megismételni,
violence,valaki felé irányuló erőszak,…violemce directed towards sy
to iterate,"hajtogat, ismétel",
for whatever reason,akármilyen okból,
circumstantial evidence,közvetett bizonyíték,
persuasive,meggyőző,
must have been responsible,felelős lehetett,
to let down,cserben hagy,
by way,mellesleg,
literal,szó szerint,
at lenght,hosszasan,
at full lenght,teljes hosszában,
intrusive,tolakodó,
miscarriage of justice,bírói tévedés,
public domain,közösségi tér,
prosecution,ügyészség,
as hard as it is it believe,bármennyire is nehéz elhinni,
inventory record,raktári nyilvántartás,
wanker,"faszfej, faszverő, vmi vulgáris",
to chuckle,kuncog,
force,a szokás hatalma,force of habit
stumble,botlás (fizikai. morális),
ambush,"csapda, lesből támad",
to embarass,zavarba hoz,
frantic,"eszeveszett, őrjöngő, lázas, frenetikus",
aye,igen,"aye, you're right about that"
resilience,ellenállóképesség,
tuition,tandíj,
moola,pénz (informal),
layoff,"elbocsátás, uborkaszezon",
severance,"végkielégítés, szétválasztás",
blink,pislog,
to sue,beperel,
badass,barom,
vigilante,igazságtevő,
gross,"otromba, bruttó, nagy",
bloodlust,vérszomjas,
attagirl,ügyes lány!,"attagirl, you got it!

an informal expression of encouragement or admiration to a woman or girl."
serendipity,serénység,
resentful,bosszús,
to resent,neheztel,
burdensome,megterhelő,
cumbersome,"nehézkes, nehéz",
to tinkle,csilingel,
motion,"indítvány is, nem csak mozgás",
facetious,tréfás,
arduous,fáradságos,
orbituary,gyászjelentés,
dire,szörnyű,
serene,derűs,
run out,"elfogyott a cukor (otthon, a már megvásárolt)",ran out of sugar
keycap,elfogytak a billentyűzetsapkák (bolt),keycaps are sold out
larynx,gége,germ-ridden larynx
germ-ridden,fertőzött,
to groan,morog,
latent,"látens, rejtett",
condescension,leereszkedő stílus,
grumble,"morgás, nyavalygás",
perks,jutalmak,
creamer,krémes (sütemény),
non-disclosure policy,"titoktartási kötelezettség/záradék, policy",
to aid,segít,
myself,előreszaladtam,I got ahead of myself
livestock,állatállomány,
life,élhető élet,a life to be had
seesaw,libikóka,
bent,"hajlam, hajlított",
stairwell,lépcsőház,
captive,"fogoly, rab",
faux pas,indiszkréció,
visceral,zsigeri,
bifurcated,kettéágazó,
prowler,csavargó,
to invade,betör,
ample,bőséges,ample time
inquisite,"érdeklődő, kíváncsi",
spry,"fürge, virgonc",
congratulations ON sg,gratulálni valamihez,
prowess,bátorság,
lemur,maki,"Okay, hazards on, eager lemur"
lemur,maki,
deadlock,"holtpont, holtpontra jut",
agog,izgatott,
wayward,önfejű,
smuggler,csempész,
vet,"állatorvos, állatot megvizsgál",
vetting,átvilágítás,
(to) rampage,tombol(ás),
progeny,"utód, leszármazott",
indelible,kitörölhetetlen,
serendipitous,serény,
villain,gazember,
nuanced,árnyalt,
endeavor,"törekvés, törekszik",
swab girl,takarítónő,
stewman,"kukta, bográcsos fiú",
fraternize,barátkozik,
slacker,naplopó,
divine,isteni,
calamity,"csapás, balsors",
kelp,hínár,-> Skrelp pokemon name
probity,feddhetetlenség,
verve,lelkesedés,
passage,"átkelő, átkelés",
convalascence,lábadozás,
compunction,bűntudat,
to settle in,"beilleszkedik, letelepszik",
impiety,istentelenség,
revenant,visszatérő,
consecrated,felszentelt,
appendage,függelék,
malice,rosszindulat,
dread,rettegés,
frolic,vidámság,
woe,"szomorúság, baj, jaj",
coup,puccs,
nimble,fürge,-> Nimblebit pokemon name
to rekindle,újjáéleszt,
given,"magától értetődőnek kellene lennie annak az embernek, aki egy céget vezet",should to be a given for a person managing a firm
provenly,bizonyítottan,
to convey,közvetít,
perpetuity,örökkévalóság,
to crave,sóvárog,
incentive,"ösztönző, jutalom",
to pant,liheg,
dipshit,baromság,
to cohabitate,együtt élni vmivel,
eel,angolna,-> Eelektross pokemon name
probe,szonda,
stakeout,"kiemelés, letartóztatás",
to wize,varázsolni,…my fall cut short by those wizened hands…
wize,bölcsész,
to atone,vezekel,Atonement
stain,folt,
fluke,szerencse,
freshman,újonc,
stint,megszorítás,
to toil,küszködik,
dozing,szunyókálás,
have hard feelings,erős indulatai vannak,
subjugation,leigázás,
to cite,idéz,by heart
to recite,idéz,by memory
inclined,hajlam(os),
